$BUILT 2014-06-08 16:18:18
$AUTHOR Clam
$GERMAN 
$ENGLISH Switchback Mountain

#SIZE_X 640
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 20
#REQUIRED 14
#SPAWN_INTERVAL 96
#SPAWN_INTERVAL_FAST 4

#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#EXPLODER 5
#BLOCKER 10
#BASHER 10
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:geoo/construction/Hatch.H: 16 328

:geoo/construction/Goal2.G: 576 328

:matt/water.W: 144 376
:matt/water.W: 176 376
:matt/water.W: 208 376
:matt/water.W: 240 376
:matt/water.W: 272 376
:matt/water.W: 304 376
:matt/water.W: 336 376
:matt/water.W: 368 376
:matt/water.W: 400 376
:matt/water.W: 432 376
:matt/water.W: 464 376
:geoo/construction/sawblade_medium.F: 288 226

:geoo/construction/rod_rust/straight32: 240 142
:geoo/construction/rod_rust/straight32: 272 142
:geoo/construction/rod_rust/straight32: 272 150
:geoo/construction/rod_rust/straight32: 240 178
:geoo/construction/rod_rust/straight32: 272 178
:geoo/construction/rod_rust/straight32: 272 186
:geoo/construction/rod_rust/straight32: 240 214
:geoo/construction/rod_rust/straight32: 272 214
:geoo/construction/rod_rust/straight32: 272 222
:geoo/construction/rod_rust/straight32: 240 250
:geoo/construction/rod_rust/straight32: 272 250
:geoo/construction/rod_rust/straight32: 272 258
:geoo/construction/rod_rust/straight32: 0 130
:geoo/construction/rod_rust/straight32: 32 130
:geoo/construction/rod_rust/straight32: 0 138
:geoo/construction/rod_rust/straight32: 0 166
:geoo/construction/rod_rust/straight32: 32 166
:geoo/construction/rod_rust/straight32: 0 174
:geoo/construction/rod_rust/straight32: 0 202
:geoo/construction/rod_rust/straight32: 32 202
:geoo/construction/rod_rust/straight32: 0 210
:geoo/construction/rod_rust/straight32: 0 238
:geoo/construction/rod_rust/straight32: 32 238
:geoo/construction/rod_rust/straight32: 0 246
:geoo/construction/rod_rust/straight32: 0 274
:geoo/construction/rod_rust/straight32: 32 274
:geoo/construction/rod_rust/straight32: 0 282
:geoo/construction/rod_rust/straight32: 368 142 frr
:geoo/construction/rod_rust/straight32: 336 142 frr
:geoo/construction/rod_rust/straight32: 368 150 frr
:geoo/construction/rod_rust/straight32: 336 150 frr
:geoo/construction/rod_rust/link_du_h: 392 138 frr
:geoo/construction/rod_rust/straight_diagu32: 438 186 frr
:geoo/construction/rod_rust/straight32: 368 178 frr
:geoo/construction/rod_rust/straight32: 336 178 frr
:geoo/construction/rod_rust/straight32: 368 186 frr
:geoo/construction/rod_rust/straight32: 336 186 frr
:geoo/construction/rod_rust/link_du_h: 392 174 frr
:geoo/construction/rod_rust/straight_diagu32: 438 222 frr
:geoo/construction/rod_rust/straight32: 368 214 frr
:geoo/construction/rod_rust/straight32: 336 214 frr
:geoo/construction/rod_rust/straight32: 368 222 frr
:geoo/construction/rod_rust/straight32: 336 222 frr
:geoo/construction/rod_rust/link_du_h: 392 210 frr
:geoo/construction/rod_rust/straight_diagu32: 438 258 frr
:geoo/construction/rod_rust/straight32: 368 250 frr
:geoo/construction/rod_rust/straight32: 336 250 frr
:geoo/construction/rod_rust/straight32: 368 258 frr
:geoo/construction/rod_rust/straight32: 336 258 frr
:geoo/construction/rod_rust/link_du_h: 392 246 frr
:geoo/construction/rod_rust/straight_diagu32: 462 318 frr
:geoo/construction/rod_rust/straight_diagu32: 462 282 frr
:geoo/construction/rod_rust/straight_diagu32: 462 246 frr
:geoo/construction/rod_rust/straight_diagu32: 462 210 frr
:geoo/construction/rod_rust/straight_diagd32: 478 298 frr
:geoo/construction/rod_rust/straight_diagd32: 510 266 frr
:geoo/construction/rod_rust/straight_diagd32: 478 262 frr
:geoo/construction/rod_rust/straight_diagd32: 478 226 frr
:geoo/construction/rod_rust/straight_diagd32: 510 158 frr
:geoo/construction/rod_rust/straight_diagd32: 478 334 frr
:geoo/construction/rod_rust/straight_diagd32: 510 302 frr
:geoo/construction/rod_rust/straight_diagd32: 510 230 frr
:geoo/construction/rod_rust/straight_diagd32: 510 194 frr
:geoo/construction/rod_rust/straight_diagd32: 478 190 frr
:geoo/construction/rod_rust/straight32: 608 130 frr
:geoo/construction/rod_rust/straight32: 576 130 frr
:geoo/construction/rod_rust/straight32: 608 138 frr
:geoo/construction/rod_rust/straight32: 576 138 frr
:geoo/construction/rod_rust/straight32: 608 166 frr
:geoo/construction/rod_rust/straight32: 576 166 frr
:geoo/construction/rod_rust/straight32: 608 174 frr
:geoo/construction/rod_rust/straight32: 576 174 frr
:geoo/construction/rod_rust/straight32: 608 202 frr
:geoo/construction/rod_rust/straight32: 576 202 frr
:geoo/construction/rod_rust/straight32: 608 210 frr
:geoo/construction/rod_rust/straight32: 576 210 frr
:geoo/construction/rod_rust/straight32: 608 238 frr
:geoo/construction/rod_rust/straight32: 576 238 frr
:geoo/construction/rod_rust/straight32: 608 246 frr
:geoo/construction/rod_rust/straight32: 576 246 frr
:geoo/construction/rod_rust/straight32: 608 274 frr
:geoo/construction/rod_rust/straight32: 576 274 frr
:geoo/construction/rod_rust/straight32: 608 282 frr
:geoo/construction/rod_rust/straight32: 576 282 frr
:geoo/construction/rod_rust/link_h_dd: 560 138 frr
:geoo/construction/rod_rust/link_h_dd: 560 174 frr
:geoo/construction/rod_rust/link_h_dd: 560 210 frr
:geoo/construction/rod_rust/link_h_dd: 560 246 frr
:geoo/construction/rod_rust/link_h_dd: 560 282 frr
:geoo/construction/rod_rust/straight_diagu32: 422 134 frr
:geoo/construction/rod_rust/straight_diagu32: 462 174 frr
:geoo/construction/rod_rust/straight_diagu32: 358 70 frr
:geoo/construction/rod_rust/link_du_h: 312 22 frr
:geoo/construction/rod_rust/straight_diagu32: 438 330 frr
:geoo/construction/rod_rust/straight32: 250 294
:geoo/construction/rod_rust/straight32: 334 294 frr
:geoo/construction/rod_rust/straight32: 366 294 frr
:geoo/construction/rod_rust/straight8: 308 318 rrr
:geoo/construction/rod_rust/straight_diagd32: 534 242 frr
:geoo/construction/rod_rust/straight_diagd32: 534 134 frr
:geoo/construction/rod_rust/straight_diagd32: 534 278 frr
:geoo/construction/rod_rust/straight_diagd32: 534 206 frr
:geoo/construction/rod_rust/straight_diagd32: 534 170 frr
:geoo/construction/rod_steel/straight_diagd32.S: 126 336
:geoo/construction/rod_steel/straight_diagd32.S: 94 304
:geoo/construction/rod_steel/straight_diagd32.S: 70 280
:geoo/construction/rod_steel/link_h_dd.S: 56 282
:geoo/construction/rod_rust/straight32: 32 282
:geoo/construction/rod_rust/straight_diagu32: 438 294 frr
:geoo/construction/rod_rust/straight_diagu32: 406 262 frr
:geoo/construction/rod_rust/straight_diagu32: 406 226 frr
:geoo/construction/rod_rust/straight_diagu32: 406 154 frr
:geoo/construction/rod_rust/straight_diagu32: 406 190 frr
:geoo/construction/rod_steel/straight_diagu32.S: 136 322
:geoo/construction/rod_steel/straight_diagu32.S: 164 294
:geoo/construction/rod_steel/straight_diagu32.S: 196 262
:geoo/construction/rod_steel/link_du_h.S: 228 246
:geoo/construction/rod_rust/straight32: 240 258
:geoo/construction/rod_steel/straight_diagd32.S: 126 300
:geoo/construction/rod_steel/straight_diagd32.S: 94 268
:geoo/construction/rod_steel/straight_diagd32.S: 70 244
